country,governorate,locationtypeend,demandtypeone,tacticprimary,violence,combined_sizes
Iraq,Najaf,Other,Politics (national),Mass attack or mob,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,Riot,31.0
Iraq,Wassit,Main road,Politics (national),Demonstration / protest,Riot,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Qadissiya,Government building,Politics (national),Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Basrah,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Main road,Politics (national),Demonstration / protest,Riot,31.0
Iraq,Qadissiya,Government building,Corruption,Demonstration / protest,None,3001.0
Iraq,Qadissiya,Government building,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,1000.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,Brawl or gang violence,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,31.0
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,3001.0
Iraq,Baghdad,Cannot be determined,Politics (national),Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,Brawl or gang violence,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,31.0
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,Armed combat,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Baghdad,Government building,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Sulaymaniyah,Main road,Politics (international),Demonstration / protest,None,301.0
Iraq,Erbil,Other,Politics (international),Demonstration / protest,None,301.0
Iraq,Sulaymaniyah,Main road,Politics (international),Demonstration / protest,None,301.0
Iraq,Basrah,Cannot be determined,Security,Demonstration / protest,None,5.0
Iraq,Erbil,Other,Politics (international),Demonstration / protest,None,301.0
Iraq,Baghdad,Government building,Labor,Occupation / sit-in,None,1678.8664992466097
Iraq,Basrah,Cannot be determined,Security,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Muthanna,Hospital,Labor,Strike,None,5.0
Iraq,Baghdad,Government building,Labor,Demonstration / protest,None,31.0
Iraq,Baghdad,Main road,Corruption,March,None,3001.0
Iraq,Sulaymaniyah,Cannot be determined,Politics (international),Demonstration / protest,None,31.0
Iraq,Baghdad,Syndicate/union,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Corruption,Demonstration / protest,None,31.0
Iraq,ThiQar,Company offices,Labor,Demonstration / protest,Riot,31.0
Iraq,Baghdad,Government building,Politics (national),March,None,31.0
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Missan,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Ninewa,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,31.0
Iraq,ThiQar,Government building,Politics (national),Demonstration / protest,Brawl or gang violence,30001.0
Iraq,Najaf,Government building,Politics (national),March,None,30001.0
Iraq,Babylon,Government building,Politics (national),Demonstration / protest,Riot,31.0
Iraq,Baghdad,University,Politics (national),Strike,None,1678.8664992466097
Iraq,Qadissiya,Party building,Politics (national),Demonstration / protest,Brawl or gang violence,301.0
Iraq,Muthanna,Government building,Politics (national),Demonstration / protest,Riot,3001.0
Iraq,Kerbala,Government building,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Wassit,Government building,Politics (national),Demonstration / protest,Riot,3001.0
Iraq,Basrah,Main road,Politics (national),Demonstration / protest,Riot,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,30001.0
Iraq,Kerbala,Midan,Politics (national),Occupation / sit-in,None,301.0
Iraq,Missan,Party building,Politics (national),Demonstration / protest,Armed combat,301.0
Iraq,ThiQar,Party building,Politics (national),Mass attack or mob,Riot,301.0
Iraq,Najaf,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,300001.0
Iraq,Basrah,Government building,Politics (national),Demonstration / protest,Brawl or gang violence,4000.0
Iraq,ThiQar,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,301.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Corruption,Demonstration / protest,None,31.0
Iraq,Kerbala,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Kerbala,Embassy,Politics (international),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,3001.0
Iraq,ThiQar,Government building,Politics (national),Occupation / sit-in,Riot,1678.8664992466097
Iraq,Missan,Government building,Politics (national),Demonstration / protest,Riot,1678.8664992466097
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,Government building,Politics (national),Demonstration / protest,None,1678.8664992466097
